Averaging and calculating the power spectrum...
px[159] = 0.004697; pe[159] = 0.000191
px[160] = 0.004623; pe[160] = 0.000132
px[161] = 0.004225; pe[161] = 0.000146
px[162] = 0.004084; pe[162] = 0.000212
px[163] = 0.004180; pe[163] = 0.000163
px[164] = 0.004103; pe[164] = 0.000099
px[165] = 0.003483; pe[165] = 0.000106
px[166] = 0.003722; pe[166] = 0.000093
px[167] = 0.003794; pe[167] = 0.000091
px[168] = 0.003889; pe[168] = 0.000104
px[169] = 0.003644; pe[169] = 0.000147
px[170] = 0.003583; pe[170] = 0.000133
px[171] = 0.003515; pe[171] = 0.000137
px[172] = 0.003482; pe[172] = 0.000123
px[173] = 0.003296; pe[173] = 0.000106
px[174] = 0.003283; pe[174] = 0.000074
px[175] = 0.003448; pe[175] = 0.000091
px[176] = 0.003427; pe[176] = 0.000141
px[177] = 0.003173; pe[177] = 0.000160
px[178] = 0.003322; pe[178] = 0.000127
px[179] = 0.003102; pe[179] = 0.000067
px[180] = 0.003035; pe[180] = 0.000053
px[181] = 0.003007; pe[181] = 0.000073
px[182] = 0.002999; pe[182] = 0.000092
px[183] = 0.002941; pe[183] = 0.000132
px[184] = 0.002957; pe[184] = 0.000162
px[185] = 0.002882; pe[185] = 0.000127
px[186] = 0.002925; pe[186] = 0.000125
px[187] = 0.002822; pe[187] = 0.000117
px[188] = 0.002898; pe[188] = 0.000105
px[189] = 0.002905; pe[189] = 0.000099
px[190] = 0.002846; pe[190] = 0.000133
px[191] = 0.002739; pe[191] = 0.000092
px[192] = 0.002755; pe[192] = 0.000123
px[193] = 0.002683; pe[193] = 0.000113
px[194] = 0.002635; pe[194] = 0.000097
px[195] = 0.002556; pe[195] = 0.000085
px[196] = 0.002576; pe[196] = 0.000086
px[197] = 0.002575; pe[197] = 0.000060
px[198] = 0.002709; pe[198] = 0.000063
px[199] = 0.002610; pe[199] = 0.000084
px[200] = 0.002496; pe[200] = 0.000100
px[201] = 0.002591; pe[201] = 0.000097
px[202] = 0.002626; pe[202] = 0.000066
px[203] = 0.002605; pe[203] = 0.000087
px[204] = 0.002573; pe[204] = 0.000094
px[205] = 0.002380; pe[205] = 0.000073
px[206] = 0.002430; pe[206] = 0.000083
px[207] = 0.002481; pe[207] = 0.000085
px[208] = 0.002510; pe[208] = 0.000111
px[209] = 0.002405; pe[209] = 0.000089
px[210] = 0.002404; pe[210] = 0.000089
px[211] = 0.002343; pe[211] = 0.000069
px[212] = 0.002244; pe[212] = 0.000041
px[213] = 0.002350; pe[213] = 0.000059
px[214] = 0.002358; pe[214] = 0.000083
px[215] = 0.002135; pe[215] = 0.000068
px[216] = 0.002366; pe[216] = 0.000053
px[217] = 0.002358; pe[217] = 0.000052
px[218] = 0.002359; pe[218] = 0.000071
px[219] = 0.002101; pe[219] = 0.000072
px[220] = 0.002153; pe[220] = 0.000096
px[221] = 0.002208; pe[221] = 0.000069
px[222] = 0.002283; pe[222] = 0.000094
px[223] = 0.002085; pe[223] = 0.000092
px[224] = 0.002169; pe[224] = 0.000083
px[225] = 0.002019; pe[225] = 0.000060
px[226] = 0.002266; pe[226] = 0.000056
px[227] = 0.002385; pe[227] = 0.000068
px[228] = 0.002196; pe[228] = 0.000060
px[229] = 0.001976; pe[229] = 0.000078
px[230] = 0.002047; pe[230] = 0.000068
px[231] = 0.002198; pe[231] = 0.000061
px[232] = 0.002078; pe[232] = 0.000056
px[233] = 0.002197; pe[233] = 0.000086
px[234] = 0.002132; pe[234] = 0.000090
px[235] = 0.002078; pe[235] = 0.000075
px[236] = 0.002077; pe[236] = 0.000091
px[237] = 0.002124; pe[237] = 0.000082
px[238] = 0.002086; pe[238] = 0.000051
px[239] = 0.002085; pe[239] = 0.000054
px[240] = 0.002173; pe[240] = 0.000072
px[241] = 0.001945; pe[241] = 0.000073
px[242] = 0.001982; pe[242] = 0.000073
px[243] = 0.002000; pe[243] = 0.000085
px[244] = 0.001962; pe[244] = 0.000064
px[245] = 0.002016; pe[245] = 0.000071
px[246] = 0.002085; pe[246] = 0.000058
px[247] = 0.002058; pe[247] = 0.000069
px[248] = 0.002213; pe[248] = 0.000089
px[249] = 0.002186; pe[249] = 0.000093
px[250] = 0.002131; pe[250] = 0.000070
px[251] = 0.002009; pe[251] = 0.000069
px[252] = 0.002020; pe[252] = 0.000053
px[253] = 0.002043; pe[253] = 0.000040
px[254] = 0.002192; pe[254] = 0.000058
px[255] = 0.001979; pe[255] = 0.000076
px[256] = 0.004254; pe[256] = 0.000204

px[0] = 1.619680; pe[0] = 0.073964
px[1] = 3.191890; pe[1] = 0.128950
px[2] = 3.138596; pe[2] = 0.146940
px[3] = 3.167879; pe[3] = 0.141950
px[4] = 3.393806; pe[4] = 0.113694
px[5] = 3.592503; pe[5] = 0.097727
px[6] = 3.672070; pe[6] = 0.139551
px[7] = 4.040560; pe[7] = 0.124824
px[8] = 4.018839; pe[8] = 0.090328
px[9] = 4.216887; pe[9] = 0.109101
px[10] = 4.689598; pe[10] = 0.151929
px[11] = 4.969120; pe[11] = 0.224435
px[12] = 5.251307; pe[12] = 0.208584
px[13] = 5.885501; pe[13] = 0.177946
px[14] = 6.585034; pe[14] = 0.209732
px[15] = 7.899605; pe[15] = 0.322042
px[16] = 8.918914; pe[16] = 0.331565
px[17] = 10.432746; pe[17] = 0.437174
px[18] = 12.328444; pe[18] = 0.493554
px[19] = 15.961864; pe[19] = 0.527243
px[20] = 19.750273; pe[20] = 0.656435
px[21] = 27.812712; pe[21] = 1.171920
px[22] = 39.267971; pe[22] = 1.608746
px[23] = 58.474373; pe[23] = 2.521414
px[24] = 106.155449; pe[24] = 4.384934
px[25] = 179.325745; pe[25] = 4.247470
px[26] = 181.395660; pe[26] = 3.784636
px[27] = 109.738312; pe[27] = 3.210315
px[28] = 60.793465; pe[28] = 1.741769
px[29] = 36.167824; pe[29] = 1.087337
px[30] = 21.999380; pe[30] = 0.648617
px[31] = 15.816332; pe[31] = 0.487186
px[32] = 10.204996; pe[32] = 0.341151
px[33] = 7.718100; pe[33] = 0.196320
px[34] = 5.868100; pe[34] = 0.173287
px[35] = 4.534733; pe[35] = 0.113326
px[36] = 3.604497; pe[36] = 0.114177
px[37] = 2.869603; pe[37] = 0.100694
px[38] = 2.238137; pe[38] = 0.062155
px[39] = 1.952327; pe[39] = 0.051952
px[40] = 1.606262; pe[40] = 0.053515
px[41] = 1.295042; pe[41] = 0.038775
px[42] = 1.147691; pe[42] = 0.019023
px[43] = 1.046821; pe[43] = 0.016512
px[44] = 0.999946; pe[44] = 0.024674
px[45] = 0.870992; pe[45] = 0.040135
px[46] = 0.747857; pe[46] = 0.042299
px[47] = 0.664864; pe[47] = 0.013410
px[48] = 0.556735; pe[48] = 0.011182
px[49] = 0.484323; pe[49] = 0.008233
px[50] = 0.456774; pe[50] = 0.009971
px[51] = 0.415148; pe[51] = 0.014301
px[52] = 0.376117; pe[52] = 0.011085
px[53] = 0.353668; pe[53] = 0.008198
px[54] = 0.317590; pe[54] = 0.008064
px[55] = 0.260414; pe[55] = 0.009594
px[56] = 0.238829; pe[56] = 0.008536
px[57] = 0.235955; pe[57] = 0.007490
px[58] = 0.220503; pe[58] = 0.005758
px[59] = 0.193516; pe[59] = 0.006277
px[60] = 0.180001; pe[60] = 0.006823
px[61] = 0.160677; pe[61] = 0.004708
px[62] = 0.159274; pe[62] = 0.004067
px[63] = 0.154509; pe[63] = 0.005330
px[64] = 0.134908; pe[64] = 0.006872
px[65] = 0.127755; pe[65] = 0.003236
px[66] = 0.118181; pe[66] = 0.004446
px[67] = 0.105999; pe[67] = 0.003985
px[68] = 0.105021; pe[68] = 0.003806
px[69] = 0.097224; pe[69] = 0.004342
px[70] = 0.091097; pe[70] = 0.004669
px[71] = 0.083814; pe[71] = 0.003004
px[72] = 0.077787; pe[72] = 0.001808
px[73] = 0.075323; pe[73] = 0.001852
px[74] = 0.072114; pe[74] = 0.001904
px[75] = 0.064836; pe[75] = 0.002227
px[76] = 0.063900; pe[76] = 0.002192
px[77] = 0.061402; pe[77] = 0.002182
px[78] = 0.055356; pe[78] = 0.001595
px[79] = 0.055090; pe[79] = 0.001784
px[80] = 0.055496; pe[80] = 0.001429
px[81] = 0.052396; pe[81] = 0.002234
px[82] = 0.046349; pe[82] = 0.001418
px[83] = 0.044491; pe[83] = 0.000808
px[84] = 0.042154; pe[84] = 0.001172
px[85] = 0.039214; pe[85] = 0.001371
px[86] = 0.037022; pe[86] = 0.001040
px[87] = 0.033158; pe[87] = 0.000902
px[88] = 0.033764; pe[88] = 0.000734
px[89] = 0.032295; pe[89] = 0.000867
px[90] = 0.030916; pe[90] = 0.000862
px[91] = 0.029561; pe[91] = 0.000926
px[92] = 0.028686; pe[92] = 0.001177
px[93] = 0.027287; pe[93] = 0.000663
px[94] = 0.025240; pe[94] = 0.000670
px[95] = 0.025591; pe[95] = 0.000896
px[96] = 0.024154; pe[96] = 0.000700
px[97] = 0.023449; pe[97] = 0.000764
px[98] = 0.022087; pe[98] = 0.000525
px[99] = 0.021898; pe[99] = 0.000720
px[100] = 0.020611; pe[100] = 0.000737
px[101] = 0.019231; pe[101] = 0.000502
px[102] = 0.018095; pe[102] = 0.000527
px[103] = 0.018658; pe[103] = 0.000801
px[104] = 0.017995; pe[104] = 0.000905
px[105] = 0.018216; pe[105] = 0.000500
px[106] = 0.017117; pe[106] = 0.000608
px[107] = 0.015759; pe[107] = 0.000602
px[108] = 0.014770; pe[108] = 0.000523
px[109] = 0.014097; pe[109] = 0.000286
px[110] = 0.014046; pe[110] = 0.000400
px[111] = 0.013929; pe[111] = 0.000529
px[112] = 0.014425; pe[112] = 0.000481
px[113] = 0.013363; pe[113] = 0.000437
px[114] = 0.013365; pe[114] = 0.000558
px[115] = 0.012615; pe[115] = 0.000670
px[116] = 0.011859; pe[116] = 0.000518
px[117] = 0.011701; pe[117] = 0.000514
px[118] = 0.011735; pe[118] = 0.000482
px[119] = 0.012716; pe[119] = 0.000513
px[120] = 0.011490; pe[120] = 0.000370
px[121] = 0.010418; pe[121] = 0.000361
px[122] = 0.010304; pe[122] = 0.000487
px[123] = 0.009826; pe[123] = 0.000509
px[124] = 0.009484; pe[124] = 0.000420
px[125] = 0.008531; pe[125] = 0.000287
px[126] = 0.008564; pe[126] = 0.000271
px[127] = 0.009021; pe[127] = 0.000258
px[128] = 0.009182; pe[128] = 0.000245
px[129] = 0.008603; pe[129] = 0.000285
px[130] = 0.008399; pe[130] = 0.000280
px[131] = 0.008080; pe[131] = 0.000313
px[132] = 0.008234; pe[132] = 0.000366
px[133] = 0.007954; pe[133] = 0.000280
px[134] = 0.007948; pe[134] = 0.000203
px[135] = 0.007345; pe[135] = 0.000202
px[136] = 0.006958; pe[136] = 0.000170
px[137] = 0.007387; pe[137] = 0.000278
px[138] = 0.006930; pe[138] = 0.000206
px[139] = 0.006678; pe[139] = 0.000220
px[140] = 0.006432; pe[140] = 0.000177
px[141] = 0.006501; pe[141] = 0.000154
px[142] = 0.006265; pe[142] = 0.000173
px[143] = 0.005833; pe[143] = 0.000096
px[144] = 0.005635; pe[144] = 0.000077
px[145] = 0.005872; pe[145] = 0.000145
px[146] = 0.005587; pe[146] = 0.000143
px[147] = 0.005201; pe[147] = 0.000131
px[148] = 0.005395; pe[148] = 0.000141
px[149] = 0.005402; pe[149] = 0.000177
px[150] = 0.004977; pe[150] = 0.000147
px[151] = 0.005061; pe[151] = 0.000148
px[152] = 0.005311; pe[152] = 0.000177
px[153] = 0.004907; pe[153] = 0.000119
px[154] = 0.004747; pe[154] = 0.000197
px[155] = 0.004878; pe[155] = 0.000159
px[156] = 0.004600; pe[156] = 0.000109
px[157] = 0.004810; pe[157] = 0.000098
px[158] = 0.004714; pe[158] = 0.000137
px[159] = 0.004778; pe[159] = 0.000081
px[160] = 0.004725; pe[160] = 0.000101
px[161] = 0.004371; pe[161] = 0.000146
px[162] = 0.004209; pe[162] = 0.000125
px[163] = 0.004322; pe[163] = 0.000142
px[164] = 0.004245; pe[164] = 0.000142
px[165] = 0.003597; pe[165] = 0.000114
px[166] = 0.003850; pe[166] = 0.000128
px[167] = 0.003934; pe[167] = 0.000140
px[168] = 0.003981; pe[168] = 0.000092
px[169] = 0.003756; pe[169] = 0.000112
px[170] = 0.003722; pe[170] = 0.000140
px[171] = 0.003586; pe[171] = 0.000071
px[172] = 0.003604; pe[172] = 0.000122
px[173] = 0.003474; pe[173] = 0.000179
px[174] = 0.003409; pe[174] = 0.000126
px[175] = 0.003658; pe[175] = 0.000210
px[176] = 0.003536; pe[176] = 0.000110
px[177] = 0.003278; pe[177] = 0.000105
px[178] = 0.003483; pe[178] = 0.000162
px[179] = 0.003237; pe[179] = 0.000134
px[180] = 0.003140; pe[180] = 0.000105
px[181] = 0.003097; pe[181] = 0.000091
px[182] = 0.003077; pe[182] = 0.000078
px[183] = 0.003019; pe[183] = 0.000078
px[184] = 0.003032; pe[184] = 0.000076
px[185] = 0.002997; pe[185] = 0.000115
px[186] = 0.003029; pe[186] = 0.000104
px[187] = 0.002906; pe[187] = 0.000085
px[188] = 0.003003; pe[188] = 0.000105
px[189] = 0.003026; pe[189] = 0.000121
px[190] = 0.002929; pe[190] = 0.000082
px[191] = 0.002841; pe[191] = 0.000101
px[192] = 0.002846; pe[192] = 0.000091
px[193] = 0.002752; pe[193] = 0.000069
px[194] = 0.002703; pe[194] = 0.000068
px[195] = 0.002647; pe[195] = 0.000091
px[196] = 0.002656; pe[196] = 0.000080
px[197] = 0.002655; pe[197] = 0.000080
px[198] = 0.002798; pe[198] = 0.000089
px[199] = 0.002681; pe[199] = 0.000070
px[200] = 0.002579; pe[200] = 0.000083
px[201] = 0.002691; pe[201] = 0.000099
px[202] = 0.002705; pe[202] = 0.000080
px[203] = 0.002666; pe[203] = 0.000061
px[204] = 0.002683; pe[204] = 0.000110
px[205] = 0.002469; pe[205] = 0.000089
px[206] = 0.002509; pe[206] = 0.000079
px[207] = 0.002567; pe[207] = 0.000086
px[208] = 0.002616; pe[208] = 0.000106
px[209] = 0.002482; pe[209] = 0.000078
px[210] = 0.002467; pe[210] = 0.000063
px[211] = 0.002446; pe[211] = 0.000103
px[212] = 0.002341; pe[212] = 0.000097
px[213] = 0.002481; pe[213] = 0.000131
px[214] = 0.002486; pe[214] = 0.000128
px[215] = 0.002217; pe[215] = 0.000081
px[216] = 0.002443; pe[216] = 0.000077
px[217] = 0.002416; pe[217] = 0.000058
px[218] = 0.002417; pe[218] = 0.000058
px[219] = 0.002180; pe[219] = 0.000080
px[220] = 0.002251; pe[220] = 0.000098
px[221] = 0.002302; pe[221] = 0.000094
px[222] = 0.002373; pe[222] = 0.000090
px[223] = 0.002168; pe[223] = 0.000083
px[224] = 0.002258; pe[224] = 0.000089
px[225] = 0.002073; pe[225] = 0.000054
px[226] = 0.002324; pe[226] = 0.000058
px[227] = 0.002459; pe[227] = 0.000074
px[228] = 0.002306; pe[228] = 0.000110
px[229] = 0.002124; pe[229] = 0.000148
px[230] = 0.002123; pe[230] = 0.000076
px[231] = 0.002262; pe[231] = 0.000064
px[232] = 0.002151; pe[232] = 0.000074
px[233] = 0.002290; pe[233] = 0.000093
px[234] = 0.002187; pe[234] = 0.000055
px[235] = 0.002111; pe[235] = 0.000032
px[236] = 0.002133; pe[236] = 0.000056
px[237] = 0.002181; pe[237] = 0.000056
px[238] = 0.002157; pe[238] = 0.000071
px[239] = 0.002172; pe[239] = 0.000086
px[240] = 0.002248; pe[240] = 0.000074
px[241] = 0.001995; pe[241] = 0.000050
px[242] = 0.002040; pe[242] = 0.000058
px[243] = 0.002064; pe[243] = 0.000064
px[244] = 0.002036; pe[244] = 0.000074
px[245] = 0.002108; pe[245] = 0.000092
px[246] = 0.002142; pe[246] = 0.000058
px[247] = 0.002126; pe[247] = 0.000068
px[248] = 0.002280; pe[248] = 0.000067
px[249] = 0.002260; pe[249] = 0.000073
px[250] = 0.002195; pe[250] = 0.000064
px[251] = 0.002068; pe[251] = 0.000059
px[252] = 0.002082; pe[252] = 0.000061
px[253] = 0.002104; pe[253] = 0.000060
px[254] = 0.002252; pe[254] = 0.000060
px[255] = 0.002044; pe[255] = 0.000065
px[256] = 0.004367; pe[256] = 0.000113

px[0] = 1.644893; pe[0] = 0.025212
px[1] = 3.260535; pe[1] = 0.068645
px[2] = 3.210939; pe[2] = 0.072343
px[3] = 3.272090; pe[3] = 0.104211
px[4] = 3.513899; pe[4] = 0.120094
px[5] = 3.703926; pe[5] = 0.111423
px[6] = 3.750988; pe[6] = 0.078919
px[7] = 4.100522; pe[7] = 0.059962
px[8] = 4.096360; pe[8] = 0.077520
px[9] = 4.313715; pe[9] = 0.096828
px[10] = 4.830730; pe[10] = 0.141132
px[11] = 5.148774; pe[11] = 0.179655
px[12] = 5.444698; pe[12] = 0.193391
px[13] = 6.157311; pe[13] = 0.271810
px[14] = 6.815248; pe[14] = 0.230214
px[15] = 8.113910; pe[15] = 0.214305
px[16] = 9.188030; pe[16] = 0.269117
px[17] = 10.822495; pe[17] = 0.389749
px[18] = 12.586182; pe[18] = 0.257738
px[19] = 16.457024; pe[19] = 0.495158
px[20] = 20.619562; pe[20] = 0.869290
px[21] = 28.762480; pe[21] = 0.949768
px[22] = 40.971546; pe[22] = 1.703574
px[23] = 60.421715; pe[23] = 1.947342
px[24] = 110.614655; pe[24] = 4.459205
px[25] = 183.876129; pe[25] = 4.550382
px[26] = 188.208481; pe[26] = 6.812828
px[27] = 114.045273; pe[27] = 4.306962
px[28] = 62.832321; pe[28] = 2.038857
px[29] = 37.494751; pe[29] = 1.326929
px[30] = 22.464294; pe[30] = 0.464914
px[31] = 16.148588; pe[31] = 0.332257
px[32] = 10.496445; pe[32] = 0.291449
px[33] = 7.980578; pe[33] = 0.262479
px[34] = 6.040608; pe[34] = 0.172508
px[35] = 4.654056; pe[35] = 0.119323
px[36] = 3.683984; pe[36] = 0.079487
px[37] = 2.942804; pe[37] = 0.073201
px[38] = 2.306606; pe[38] = 0.068469
px[39] = 2.011035; pe[39] = 0.058709
px[40] = 1.655700; pe[40] = 0.049438
px[41] = 1.335052; pe[41] = 0.040010
px[42] = 1.182936; pe[42] = 0.035245
px[43] = 1.075095; pe[43] = 0.028273
px[44] = 1.023206; pe[44] = 0.023261
px[45] = 0.889008; pe[45] = 0.018016
px[46] = 0.767964; pe[46] = 0.020107
px[47] = 0.689053; pe[47] = 0.024189
px[48] = 0.574383; pe[48] = 0.017648
px[49] = 0.499206; pe[49] = 0.014883
px[50] = 0.469181; pe[50] = 0.012407
px[51] = 0.427915; pe[51] = 0.012767
px[52] = 0.383244; pe[52] = 0.007127
px[53] = 0.365585; pe[53] = 0.011916
px[54] = 0.328517; pe[54] = 0.010928
px[55] = 0.269958; pe[55] = 0.009543
px[56] = 0.246410; pe[56] = 0.007581
px[57] = 0.241263; pe[57] = 0.005307
px[58] = 0.228678; pe[58] = 0.008176
px[59] = 0.200542; pe[59] = 0.007026
px[60] = 0.188937; pe[60] = 0.008936
px[61] = 0.167481; pe[61] = 0.006803
px[62] = 0.166473; pe[62] = 0.007199
px[63] = 0.161048; pe[63] = 0.006538
px[64] = 0.140613; pe[64] = 0.005705
px[65] = 0.132541; pe[65] = 0.004786
px[66] = 0.120496; pe[66] = 0.002314
px[67] = 0.108063; pe[67] = 0.002065
px[68] = 0.107450; pe[68] = 0.002429
px[69] = 0.100358; pe[69] = 0.003134
px[70] = 0.093882; pe[70] = 0.002785
px[71] = 0.086748; pe[71] = 0.002934
px[72] = 0.080137; pe[72] = 0.002350
px[73] = 0.077673; pe[73] = 0.002350
px[74] = 0.074148; pe[74] = 0.002034
px[75] = 0.067084; pe[75] = 0.002248
px[76] = 0.065469; pe[76] = 0.001569
px[77] = 0.062658; pe[77] = 0.001256
px[78] = 0.056931; pe[78] = 0.001574
px[79] = 0.057258; pe[79] = 0.002167
px[80] = 0.057192; pe[80] = 0.001696
px[81] = 0.053586; pe[81] = 0.001190
px[82] = 0.047335; pe[82] = 0.000986
px[83] = 0.045683; pe[83] = 0.001193
px[84] = 0.044059; pe[84] = 0.001905
px[85] = 0.040938; pe[85] = 0.001724
px[86] = 0.038261; pe[86] = 0.001239
px[87] = 0.034510; pe[87] = 0.001351
px[88] = 0.035081; pe[88] = 0.001317
px[89] = 0.033092; pe[89] = 0.000797
px[90] = 0.031797; pe[90] = 0.000881
px[91] = 0.030709; pe[91] = 0.001148
px[92] = 0.029939; pe[92] = 0.001253
px[93] = 0.028186; pe[93] = 0.000899
px[94] = 0.026062; pe[94] = 0.000821
px[95] = 0.026355; pe[95] = 0.000763
px[96] = 0.024928; pe[96] = 0.000774
px[97] = 0.024261; pe[97] = 0.000812
px[98] = 0.023015; pe[98] = 0.000927
px[99] = 0.022807; pe[99] = 0.000909
px[100] = 0.021561; pe[100] = 0.000949
px[101] = 0.019744; pe[101] = 0.000513
px[102] = 0.018783; pe[102] = 0.000688
px[103] = 0.019586; pe[103] = 0.000927
px[104] = 0.018762; pe[104] = 0.000767
px[105] = 0.019173; pe[105] = 0.000957
px[106] = 0.017965; pe[106] = 0.000848
px[107] = 0.016469; pe[107] = 0.000711
px[108] = 0.015283; pe[108] = 0.000513
px[109] = 0.014690; pe[109] = 0.000593
px[110] = 0.014709; pe[110] = 0.000663
px[111] = 0.014404; pe[111] = 0.000474
px[112] = 0.015009; pe[112] = 0.000583
px[113] = 0.013784; pe[113] = 0.000421
px[114] = 0.013926; pe[114] = 0.000561
px[115] = 0.013017; pe[115] = 0.000402
px[116] = 0.012215; pe[116] = 0.000356
px[117] = 0.012025; pe[117] = 0.000324
px[118] = 0.012165; pe[118] = 0.000430
px[119] = 0.013105; pe[119] = 0.000389
px[120] = 0.011929; pe[120] = 0.000438
px[121] = 0.010819; pe[121] = 0.000401
px[122] = 0.010724; pe[122] = 0.000420
px[123] = 0.010227; pe[123] = 0.000401
px[124] = 0.010003; pe[124] = 0.000518
px[125] = 0.008894; pe[125] = 0.000363
px[126] = 0.008874; pe[126] = 0.000310
px[127] = 0.009300; pe[127] = 0.000278
px[128] = 0.009433; pe[128] = 0.000251
px[129] = 0.008850; pe[129] = 0.000247
px[130] = 0.008715; pe[130] = 0.000316
px[131] = 0.008312; pe[131] = 0.000231
px[132] = 0.008567; pe[132] = 0.000333
px[133] = 0.008281; pe[133] = 0.000327
px[134] = 0.008179; pe[134] = 0.000231
px[135] = 0.007587; pe[135] = 0.000242
px[136] = 0.007139; pe[136] = 0.000181
px[137] = 0.007547; pe[137] = 0.000161
px[138] = 0.007177; pe[138] = 0.000247
px[139] = 0.006821; pe[139] = 0.000143
px[140] = 0.006552; pe[140] = 0.000120
px[141] = 0.006656; pe[141] = 0.000155
px[142] = 0.006425; pe[142] = 0.000160
px[143] = 0.006047; pe[143] = 0.000214
px[144] = 0.005770; pe[144] = 0.000135
px[145] = 0.006014; pe[145] = 0.000142
px[146] = 0.005674; pe[146] = 0.000087
px[147] = 0.005381; pe[147] = 0.000179
px[148] = 0.005563; pe[148] = 0.000168
px[149] = 0.005573; pe[149] = 0.000172
px[150] = 0.005135; pe[150] = 0.000158
px[151] = 0.005158; pe[151] = 0.000097
px[152] = 0.005455; pe[152] = 0.000145
px[153] = 0.004983; pe[153] = 0.000076
px[154] = 0.004821; pe[154] = 0.000075
px[155] = 0.005043; pe[155] = 0.000165
px[156] = 0.004743; pe[156] = 0.000143
px[157] = 0.004921; pe[157] = 0.000111
px[158] = 0.004818; pe[158] = 0.000104
px[159] = 0.004900; pe[159] = 0.000121
px[160] = 0.004859; pe[160] = 0.000134
px[161] = 0.004501; pe[161] = 0.000130
px[162] = 0.004310; pe[162] = 0.000102
px[163] = 0.004423; pe[163] = 0.000101
px[164] = 0.004358; pe[164] = 0.000113
px[165] = 0.003730; pe[165] = 0.000133
px[166] = 0.003966; pe[166] = 0.000116
px[167] = 0.004044; pe[167] = 0.000111
px[168] = 0.004060; pe[168] = 0.000079
px[169] = 0.003868; pe[169] = 0.000112
px[170] = 0.003864; pe[170] = 0.000142
px[171] = 0.003782; pe[171] = 0.000196
px[172] = 0.003794; pe[172] = 0.000190
px[173] = 0.003616; pe[173] = 0.000142
px[174] = 0.003512; pe[174] = 0.000103
px[175] = 0.003769; pe[175] = 0.000111
px[176] = 0.003599; pe[176] = 0.000063
px[177] = 0.003347; pe[177] = 0.000069
px[178] = 0.003568; pe[178] = 0.000085
px[179] = 0.003318; pe[179] = 0.000081
px[180] = 0.003219; pe[180] = 0.000079
px[181] = 0.003188; pe[181] = 0.000090
px[182] = 0.003172; pe[182] = 0.000094
px[183] = 0.003118; pe[183] = 0.000099
px[184] = 0.003112; pe[184] = 0.000080
px[185] = 0.003061; pe[185] = 0.000064
px[186] = 0.003103; pe[186] = 0.000074
px[187] = 0.002983; pe[187] = 0.000077
px[188] = 0.003123; pe[188] = 0.000119
px[189] = 0.003203; pe[189] = 0.000177
px[190] = 0.003056; pe[190] = 0.000127
px[191] = 0.002945; pe[191] = 0.000104
px[192] = 0.002978; pe[192] = 0.000132
px[193] = 0.002906; pe[193] = 0.000154
px[194] = 0.002848; pe[194] = 0.000144
px[195] = 0.002720; pe[195] = 0.000073
px[196] = 0.002727; pe[196] = 0.000071
px[197] = 0.002727; pe[197] = 0.000072
px[198] = 0.002927; pe[198] = 0.000129
px[199] = 0.002759; pe[199] = 0.000078
px[200] = 0.002654; pe[200] = 0.000076
px[201] = 0.002765; pe[201] = 0.000074
px[202] = 0.002773; pe[202] = 0.000068
px[203] = 0.002727; pe[203] = 0.000060
px[204] = 0.002748; pe[204] = 0.000065
px[205] = 0.002553; pe[205] = 0.000084
px[206] = 0.002606; pe[206] = 0.000097
px[207] = 0.002649; pe[207] = 0.000082
px[208] = 0.002714; pe[208] = 0.000098
px[209] = 0.002608; pe[209] = 0.000126
px[210] = 0.002557; pe[210] = 0.000089
px[211] = 0.002515; pe[211] = 0.000068
px[212] = 0.002464; pe[212] = 0.000123
px[213] = 0.002606; pe[213] = 0.000125
px[214] = 0.002579; pe[214] = 0.000093
px[215] = 0.002297; pe[215] = 0.000080
px[216] = 0.002575; pe[216] = 0.000132
px[217] = 0.002518; pe[217] = 0.000102
px[218] = 0.002501; pe[218] = 0.000084
px[219] = 0.002268; pe[219] = 0.000088
px[220] = 0.002362; pe[220] = 0.000112
px[221] = 0.002385; pe[221] = 0.000083
px[222] = 0.002504; pe[222] = 0.000131
px[223] = 0.002271; pe[223] = 0.000104
px[224] = 0.002316; pe[224] = 0.000058
px[225] = 0.002127; pe[225] = 0.000055
px[226] = 0.002378; pe[226] = 0.000054
px[227] = 0.002535; pe[227] = 0.000076
px[228] = 0.002393; pe[228] = 0.000087
px[229] = 0.002227; pe[229] = 0.000104
px[230] = 0.002205; pe[230] = 0.000082
px[231] = 0.002326; pe[231] = 0.000065
px[232] = 0.002230; pe[232] = 0.000079
px[233] = 0.002378; pe[233] = 0.000088
px[234] = 0.002252; pe[234] = 0.000065
px[235] = 0.002182; pe[235] = 0.000071
px[236] = 0.002201; pe[236] = 0.000068
px[237] = 0.002240; pe[237] = 0.000060
px[238] = 0.002241; pe[238] = 0.000084
px[239] = 0.002243; pe[239] = 0.000071
px[240] = 0.002285; pe[240] = 0.000037
px[241] = 0.002063; pe[241] = 0.000067
px[242] = 0.002124; pe[242] = 0.000084
px[243] = 0.002125; pe[243] = 0.000061
px[244] = 0.002102; pe[244] = 0.000066
px[245] = 0.002176; pe[245] = 0.000068
px[246] = 0.002237; pe[246] = 0.000095
px[247] = 0.002204; pe[247] = 0.000079
px[248] = 0.002356; pe[248] = 0.000076
px[249] = 0.002325; pe[249] = 0.000066
px[250] = 0.002253; pe[250] = 0.000058
px[251] = 0.002129; pe[251] = 0.000061
